WONo,PlannedLabour,PlannedLabourST,PlannedLabourTotalRT,PlannedHours,PlannedHoursST,PlannedHoursTotalRT,ActualLabour,ActualLabourST,ActualLabourUnit,ActualHours,ActualHoursST,ActualHoursUnit,OutstandingPlannedHours,OutstandingPlannedLabourCost
17425,24021.25,0,24021.25,436.75,0,436.75,21.083333,0,21.083333,0.38333333,0,0.38333333,436.3666667,24000.16667
17424,24021.25,0,24021.25,436.75,0,436.75,15.583333,0,15.583333,0.28333333,0,0.28333333,436.4666667,24005.66667
17423,24021.25,0,24021.25,436.75,0,436.75,45.833333,0,45.833333,0.83333333,0,0.83333333,435.9166667,23975.41667
17422,8772.5,0,8772.5,159.5,0,159.5,137.5,0,137.5,2.5,0,2.5,159.5,8772.5
17421,1155,0,1155,21,0,21,1092.666666,0,1092.666666,19.86666666,0,19.86666666,8.63333333,474.8333332
17420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17419,46530,0,46530,846,0,846,2887.5,0,2887.5,52.5,0,52.5,793.5,43642.5
17418,33330,0,33330,606,0,606,26840.91666,0,26840.91666,488.0166666,0,488.0166666,176.6833334,9717.583335
17417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17416,8322.538889,0,8322.538889,151.3188889,0,151.3188889,11086.16666,0,11086.16666,201.5666666,0,201.5666666,14.18333335,780.0833343
17415,6655,0,6655,121,0,121,8802.749997,0,8802.749997,160.05,0,160.05,95.48333333,5251.583333
17414,946,0,946,17.2,0,17.2,265.833333,0,265.833333,4.83333333,0,4.83333333,12.36666667,680.1666669
17413,764.5,0,764.5,13.9,0,13.9,956.999999,0,956.999999,17.39999999,0,17.39999999,4.73333334,260.3333337
17412,33577.5,0,33577.5,610.5,0,610.5,0,0,0,0,0,0,610.5,33577.5
17411,34320,0,34320,624,0,624,0,0,0,0,0,0,624,34320
17410,32890,0,32890,598,0,598,0,0,0,0,0,0,598,32890
17409,30167.5,0,30167.5,548.5,0,548.5,0,0,0,0,0,0,548.5,30167.5
17408,33587.61389,0,33587.61389,610.6838889,0,610.6838889,10475.66666,0,10475.66666,190.4666666,0,190.4666666,423.9838889,23319.11389
17407,29975,0,29975,545,0,545,13442,0,13442,244.4,0,244.4,312.9833333,17214.08333
