WO,Line,Percent Complete*
17271,40,100
17272,40,100
17273,40,100
17276,40,100
17281,40,100
17284,40,100
17285,40,100
17287,40,100
17288,40,100
17293,40,100
17302,40,100
17305,40,100
17314,40,100
17316,40,100
17317,40,100
17318,40,100
17319,40,100
17324,40,100
17328,40,100
17329,40,100
17330,40,100
17333,40,100
17338,40,100
17339,40,100
17340,40,100
17341,40,100
17342,40,100
17343,40,100
17344,40,100
17345,40,100
17346,40,100
17347,40,100
17348,40,100
17356,40,100
17358,40,100
17362,40,100
17363,40,100
17364,40,100
17365,40,100
17366,40,100
17367,40,100
17368,40,100
17369,40,100
17370,40,100
17371,40,100
17372,40,100
17376,40,100
17377,40,100
17378,40,100
17381,40,100
17382,40,100
17383,40,100
17384,40,100
17386,40,100
17387,40,100
17393,40,100
17394,40,100
17395,40,100
17397,40,100
17415,40,100
17416,40,100
17421,40,100
17460,40,15
17461,40,15
17462,40,100
17463,40,100
17469,40,100
17475,40,100
17476,40,100
17477,40,100
17478,40,100
17479,40,100
17480,40,25
17481,40,100
17482,40,100
17483,40,100
17484,40,60
17485,40,100
17486,40,15
16680,41,100
16680,42,100
16958,45,100
17143,45,100
17184,45,100
17186,45,100
17187,45,100
17199,45,100
17381,45,100
17382,45,100
17383,45,100
17384,45,100
17386,45,100
14518,50,100
14580,50,100
14582,50,100
14656,50,63
14657,50,100
14662,50,100
14687,50,100
14691,50,100
14695,50,100
14696,50,100
14697,50,100
14698,50,100
14699,50,100
14700,50,100
14701,50,50
14706,50,100
14722,50,50
14735,50,100
14736,50,100
14782,50,100
14786,50,100
14787,50,100
14788,50,100
14789,50,100
14790,50,100
14791,50,100
14792,50,100
14793,50,100
14794,50,100
14795,50,100
14798,50,100
